Year	CCAA	Type	Value
2011	andalucia	renta_neta_media_por_persona	8764
2011	aragon	renta_media_por_unidad_de_consumo	17259
2011	aragon	renta_neta_media_por_persona	11657
2011	asturias	renta_media_por_unidad_de_consumo	17080
2011	asturias	renta_neta_media_por_persona	11779
2011	baleares	renta_media_por_unidad_de_consumo	16568
2011	baleares	renta_neta_media_por_persona	11126
2011	canarias	renta_media_por_unidad_de_consumo	13127
2011	canarias	renta_neta_media_por_persona	8610
2011	cantabria	renta_media_por_unidad_de_consumo	15447
2011	cantabria	renta_neta_media_por_persona	10495
2011	castilla_la_mancha	renta_media_por_unidad_de_consumo	13720
2011	castilla_la_mancha	renta_neta_media_por_persona	9105
2011	castilla_leon	renta_media_por_unidad_de_consumo	15918
2011	castilla_leon	renta_neta_media_por_persona	10841
2011	catalunya	renta_media_por_unidad_de_consumo	18170
2011	catalunya	renta_neta_media_por_persona	12209
2011	ceuta	renta_media_por_unidad_de_consumo	16208
2011	ceuta	renta_neta_media_por_persona	10030
2011	comunidad_valenciana	renta_media_por_unidad_de_consumo	15344
2011	comunidad_valenciana	renta_neta_media_por_persona	10236
2011	extremadura	renta_media_por_unidad_de_consumo	13151
2011	extremadura	renta_neta_media_por_persona	8725
2011	galicia	renta_media_por_unidad_de_consumo	15450
2011	galicia	renta_neta_media_por_persona	10370
2011	madrid	renta_media_por_unidad_de_consumo	19984
2011	madrid	renta_neta_media_por_persona	13192
2011	melilla	renta_media_por_unidad_de_consumo	18278
2011	melilla	renta_neta_media_por_persona	11981
2011	murcia	renta_media_por_unidad_de_consumo	13022
2011	murcia	renta_neta_media_por_persona	8437
2011	navarra	renta_media_por_unidad_de_consumo	21404
2011	navarra	renta_neta_media_por_persona	14301
2011	pais_vasco	renta_media_por_unidad_de_consumo	20834
2011	pais_vasco	renta_neta_media_por_persona	14046
2011	rioja	renta_media_por_unidad_de_consumo	15517
2011	rioja	renta_neta_media_por_persona	10712
2011	total_nacional	renta_media_por_unidad_de_consumo	16280
2011	total_nacional	renta_neta_media_por_persona	10858
2012	andalucia	renta_media_por_unidad_de_consumo	13391
2012	andalucia	renta_neta_media_por_persona	8845
2012	aragon	renta_media_por_unidad_de_consumo	17419
2012	aragon	renta_neta_media_por_persona	11904
2012	asturias	renta_media_por_unidad_de_consumo	16922
2012	asturias	renta_neta_media_por_persona	11767
2012	baleares	renta_media_por_unidad_de_consumo	16317
2012	baleares	renta_neta_media_por_persona	11005
2012	canarias	renta_media_por_unidad_de_consumo	12477
2012	canarias	renta_neta_media_por_persona	8423
2012	cantabria	renta_media_por_unidad_de_consumo	15211
2012	cantabria	renta_neta_media_por_persona	10388
2012	castilla_la_mancha	renta_media_por_unidad_de_consumo	13307
2012	castilla_la_mancha	renta_neta_media_por_persona	8878
2012	castilla_leon	renta_media_por_unidad_de_consumo	15909
2012	castilla_leon	renta_neta_media_por_persona	10855
2012	catalunya	renta_media_por_unidad_de_consumo	18136
2012	catalunya	renta_neta_media_por_persona	12199
2012	ceuta	renta_media_por_unidad_de_consumo	15511
2012	ceuta	renta_neta_media_por_persona	9990
2012	comunidad_valenciana	renta_media_por_unidad_de_consumo	14864
2012	comunidad_valenciana	renta_neta_media_por_persona	9965
2012	extremadura	renta_media_por_unidad_de_consumo	12281
2012	extremadura	renta_neta_media_por_persona	8238
2012	galicia	renta_media_por_unidad_de_consumo	15333
2012	galicia	renta_neta_media_por_persona	10266
2012	madrid	renta_media_por_unidad_de_consumo	19902
2012	madrid	renta_neta_media_por_persona	13155
2012	melilla	renta_media_por_unidad_de_consumo	19011
2012	melilla	renta_neta_media_por_persona	11761
2012	murcia	renta_media_por_unidad_de_consumo	12891
2012	murcia	renta_neta_media_por_persona	8474
2012	navarra	renta_media_por_unidad_de_consumo	20918
2012	navarra	renta_neta_media_por_persona	14041
2012	pais_vasco	renta_media_por_unidad_de_consumo	20474
2012	pais_vasco	renta_neta_media_por_persona	13857
2012	rioja	renta_media_por_unidad_de_consumo	16102
2012	rioja	renta_neta_media_por_persona	11270
2012	total_nacional	renta_media_por_unidad_de_consumo	16119
2012	total_nacional	renta_neta_media_por_persona	10795
2013	andalucia	renta_media_por_unidad_de_consumo	12705
2013	andalucia	renta_neta_media_por_persona	8408
2013	aragon	renta_media_por_unidad_de_consumo	17618
2013	aragon	renta_neta_media_por_persona	12022
2013	asturias	renta_media_por_unidad_de_consumo	15994
2013	asturias	renta_neta_media_por_persona	11211
2013	baleares	renta_media_por_unidad_de_consumo	15427
2013	baleares	renta_neta_media_por_persona	10386
2013	canarias	renta_media_por_unidad_de_consumo	12688
2013	canarias	renta_neta_media_por_persona	8513
2013	cantabria	renta_media_por_unidad_de_consumo	14426
2013	cantabria	renta_neta_media_por_persona	9843
2013	castilla_la_mancha	renta_media_por_unidad_de_consumo	12673
2013	castilla_la_mancha	renta_neta_media_por_persona	8425
2013	castilla_leon	renta_media_por_unidad_de_consumo	15743
2013	castilla_leon	renta_neta_media_por_persona	10760
2013	catalunya	renta_media_por_unidad_de_consumo	17883
2013	catalunya	renta_neta_media_por_persona	12111
