Year	CCAA	Value
2018	comunidad_valenciana	103,0496810231
2018	extremadura	101,5332928004
2018	galicia	99,9591937036
2018	madrid	102,0069514196
2018	melilla	101,0135690192
2018	murcia	99,9653153799
2018	navarra	104,706994021
2018	pais_vasco	102,1937097798
2018	rioja	104,0725248331
2018	total_nacional	101,5840554229
2019	andalucia	99,052681829
2019	aragon	104,9144965304
2019	asturias	102,9159136867
2019	baleares	103,8867945206
2019	canarias	100,4054109413
2019	cantabria	104,564544059
2019	castilla_la_mancha	101,6310082648
2019	castilla_leon	102,3817236814
2019	catalunya	102,2496795193
2019	ceuta	97,6504308448
2019	comunidad_valenciana	103,4088775103
2019	extremadura	101,5988595093
2019	galicia	100,401236512
2019	madrid	102,5746327503
2019	melilla	101,0740487468
2019	murcia	100,2055882739
2019	navarra	105,358060818
2019	pais_vasco	102,3625434577
2019	rioja	104,8730963458
2019	total_nacional	101,9065917343
2020	andalucia	98,6302048253
2020	aragon	104,8847568896
2020	asturias	103,335098541
2020	baleares	104,3653624319
2020	canarias	98,8735902327
2020	cantabria	104,2746670747
2020	castilla_la_mancha	101,5412142713
2020	castilla_leon	101,8709962763
2020	catalunya	101,975583578
2020	ceuta	97,8184431302
2020	comunidad_valenciana	103,0352795746
2020	extremadura	101,1439395144
2020	galicia	100,3865571142
2020	madrid	102,2939452652
2020	melilla	100,2251956289
2020	murcia	99,9762402289
2020	navarra	105,7478686425
2020	pais_vasco	102,7906264161
2020	rioja	104,7655399636
2020	total_nacional	101,6336970849
2021	andalucia	98,848313883
2021	aragon	104,2515630537
2021	asturias	102,9626276787
2021	baleares	103,6001512112
2021	canarias	98,8224068073
2021	cantabria	103,8990589314
2021	castilla_la_mancha	101,2862706416
2021	castilla_leon	101,9028997544
2021	catalunya	101,7797814832
2021	ceuta	97,477031767
2021	comunidad_valenciana	103,0704075426
2021	extremadura	101,3867450646
2021	galicia	100,286470418
2021	madrid	102,2359536218
2021	melilla	99,7293070435
2021	murcia	99,8160451937
2021	navarra	105,6803409181
2021	pais_vasco	102,9064258018
2021	rioja	104,6029105933
2021	total_nacional	101,5592927842
2022	andalucia	99,1035856806
2022	aragon	103,6844826749
2022	asturias	102,7553152379
