Year	CCAA	Value
1984	castilla_leon	2590341
1984	catalunya	6012916
1984	ceuta	65983
1984	comunidad_valenciana	3728615
1984	extremadura	1069446
1984	galicia	2809230
1984	madrid	4794710
1984	melilla	54383
1984	murcia	986807
1984	navarra	514836
1984	pais_vasco	2148648
1984	rioja	258460
1984	total_nacional	38252899
1985	andalucia	6676889
1985	aragon	1202218
1985	asturias	1126355
1985	baleares	679982
1985	canarias	1425584
1985	cantabria	523572
1985	castilla_la_mancha	1660848
1985	castilla_leon	2589610
1985	catalunya	6028671
1985	ceuta	66196
1985	comunidad_valenciana	3753019
1985	extremadura	1069795
1985	galicia	2804629
1985	madrid	4826262
1985	melilla	54694
1985	murcia	996384
1985	navarra	516322
1985	pais_vasco	2147171
1985	rioja	259632
1985	total_nacional	38407829
1986	andalucia	6726921
1986	aragon	1201291
1986	asturias	1122981
1986	baleares	685509
1986	canarias	1437814
1986	cantabria	524942
1986	castilla_la_mancha	1660971
1986	castilla_leon	2586361
1986	catalunya	6042956
1986	ceuta	66447
1986	comunidad_valenciana	3773692
1986	extremadura	1069410
1986	galicia	2796897
1986	madrid	4853420
1986	melilla	55056
1986	murcia	1005303
1986	navarra	517233
1986	pais_vasco	2143503
1986	rioja	260488
1986	total_nacional	38531195
1987	andalucia	6773974
1987	aragon	1199795
1987	asturias	1119511
1987	baleares	690608
1987	canarias	1450022
1987	cantabria	526081
1987	castilla_la_mancha	1661437
1987	castilla_leon	2581893
1987	catalunya	6052938
1987	ceuta	66657
1987	comunidad_valenciana	3793143
1987	extremadura	1068919
1987	galicia	2786389
1987	madrid	4879392
1987	melilla	55421
1987	murcia	1013739
1987	navarra	518071
1987	pais_vasco	2138880
1987	rioja	261183
1987	total_nacional	38638052
1988	andalucia	6818889
1988	aragon	1198216
1988	asturias	1115045
1988	baleares	695730
1988	canarias	1461760
1988	cantabria	527127
1988	castilla_la_mancha	1661717
1988	castilla_leon	2576210
1988	catalunya	6059952
1988	ceuta	66931
