Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	01 Andalucía	29 Málaga	Total	2021	1.696.955
Total Nacional	01 Andalucía	29 Málaga	Hombres	2024	867.140
Total Nacional	01 Andalucía	29 Málaga	Hombres	2023	857.246
Total Nacional	01 Andalucía	29 Málaga	Hombres	2022	840.038
Total Nacional	01 Andalucía	29 Málaga	Hombres	2021	831.211
Total Nacional	01 Andalucía	29 Málaga	Mujeres	2024	907.561
Total Nacional	01 Andalucía	29 Málaga	Mujeres	2023	895.482
Total Nacional	01 Andalucía	29 Málaga	Mujeres	2022	875.071
Total Nacional	01 Andalucía	29 Málaga	Mujeres	2021	865.744
Total Nacional	01 Andalucía	41 Sevilla	Total	2024	1.968.624
Total Nacional	01 Andalucía	41 Sevilla	Total	2023	1.959.394
Total Nacional	01 Andalucía	41 Sevilla	Total	2022	1.949.558
Total Nacional	01 Andalucía	41 Sevilla	Total	2021	1.950.056
Total Nacional	01 Andalucía	41 Sevilla	Hombres	2024	960.265
Total Nacional	01 Andalucía	41 Sevilla	Hombres	2023	956.407
Total Nacional	01 Andalucía	41 Sevilla	Hombres	2022	952.462
Total Nacional	01 Andalucía	41 Sevilla	Hombres	2021	952.623
Total Nacional	01 Andalucía	41 Sevilla	Mujeres	2024	1.008.359
Total Nacional	01 Andalucía	41 Sevilla	Mujeres	2023	1.002.987
Total Nacional	01 Andalucía	41 Sevilla	Mujeres	2022	997.096
Total Nacional	01 Andalucía	41 Sevilla	Mujeres	2021	997.433
Total Nacional	02 Aragón		Total	2024	1.351.591
Total Nacional	02 Aragón		Total	2023	1.341.289
Total Nacional	02 Aragón		Total	2022	1.328.215
Total Nacional	02 Aragón		Total	2021	1.331.938
Total Nacional	02 Aragón		Hombres	2024	668.275
Total Nacional	02 Aragón		Hombres	2023	662.674
Total Nacional	02 Aragón		Hombres	2022	656.811
Total Nacional	02 Aragón		Hombres	2021	658.263
Total Nacional	02 Aragón		Mujeres	2024	683.316
Total Nacional	02 Aragón		Mujeres	2023	678.615
Total Nacional	02 Aragón		Mujeres	2022	671.404
Total Nacional	02 Aragón		Mujeres	2021	673.675
Total Nacional	02 Aragón	22 Huesca	Total	2024	228.519
Total Nacional	02 Aragón	22 Huesca	Total	2023	226.878
Total Nacional	02 Aragón	22 Huesca	Total	2022	225.199
Total Nacional	02 Aragón	22 Huesca	Total	2021	223.995
Total Nacional	02 Aragón	22 Huesca	Hombres	2024	115.992
Total Nacional	02 Aragón	22 Huesca	Hombres	2023	114.938
Total Nacional	02 Aragón	22 Huesca	Hombres	2022	114.288
Total Nacional	02 Aragón	22 Huesca	Hombres	2021	113.456
Total Nacional	02 Aragón	22 Huesca	Mujeres	2024	112.527
Total Nacional	02 Aragón	22 Huesca	Mujeres	2023	111.940
Total Nacional	02 Aragón	22 Huesca	Mujeres	2022	110.911
Total Nacional	02 Aragón	22 Huesca	Mujeres	2021	110.539
Total Nacional	02 Aragón	44 Teruel	Total	2024	135.309
Total Nacional	02 Aragón	44 Teruel	Total	2023	135.046
Total Nacional	02 Aragón	44 Teruel	Total	2022	134.132
Total Nacional	02 Aragón	44 Teruel	Total	2021	134.259
Total Nacional	02 Aragón	44 Teruel	Hombres	2024	68.621
Total Nacional	02 Aragón	44 Teruel	Hombres	2023	68.416
Total Nacional	02 Aragón	44 Teruel	Hombres	2022	68.120
Total Nacional	02 Aragón	44 Teruel	Hombres	2021	68.143
Total Nacional	02 Aragón	44 Teruel	Mujeres	2024	66.688
Total Nacional	02 Aragón	44 Teruel	Mujeres	2023	66.630
Total Nacional	02 Aragón	44 Teruel	Mujeres	2022	66.012
Total Nacional	02 Aragón	44 Teruel	Mujeres	2021	66.116
Total Nacional	02 Aragón	50 Zaragoza	Total	2024	987.763
Total Nacional	02 Aragón	50 Zaragoza	Total	2023	979.365
Total Nacional	02 Aragón	50 Zaragoza	Total	2022	968.884
Total Nacional	02 Aragón	50 Zaragoza	Total	2021	973.684
Total Nacional	02 Aragón	50 Zaragoza	Hombres	2024	483.662
Total Nacional	02 Aragón	50 Zaragoza	Hombres	2023	479.320
Total Nacional	02 Aragón	50 Zaragoza	Hombres	2022	474.403
Total Nacional	02 Aragón	50 Zaragoza	Hombres	2021	476.664
Total Nacional	02 Aragón	50 Zaragoza	Mujeres	2024	504.101
Total Nacional	02 Aragón	50 Zaragoza	Mujeres	2023	500.045
Total Nacional	02 Aragón	50 Zaragoza	Mujeres	2022	494.481
Total Nacional	02 Aragón	50 Zaragoza	Mujeres	2021	497.020
Total Nacional	03 Asturias, Principado de		Total	2024	1.009.599
Total Nacional	03 Asturias, Principado de		Total	2023	1.006.060
Total Nacional	03 Asturias, Principado de		Total	2022	1.004.960
Total Nacional	03 Asturias, Principado de		Total	2021	1.012.117
Total Nacional	03 Asturias, Principado de		Hombres	2024	481.478
Total Nacional	03 Asturias, Principado de		Hombres	2023	479.739
Total Nacional	03 Asturias, Principado de		Hombres	2022	479.658
Total Nacional	03 Asturias, Principado de		Hombres	2021	483.186
Total Nacional	03 Asturias, Principado de		Mujeres	2024	528.121
Total Nacional	03 Asturias, Principado de		Mujeres	2023	526.321
Total Nacional	03 Asturias, Principado de		Mujeres	2022	525.302
Total Nacional	03 Asturias, Principado de		Mujeres	2021	528.931
Total Nacional	03 Asturias, Principado de	33 Asturias	Total	2024	1.009.599
Total Nacional	03 Asturias, Principado de	33 Asturias	Total	2023	1.006.060
Total Nacional	03 Asturias, Principado de	33 Asturias	Total	2022	1.004.960
Total Nacional	03 Asturias, Principado de	33 Asturias	Total	2021	1.012.117
Total Nacional	03 Asturias, Principado de	33 Asturias	Hombres	2024	481.478
Total Nacional	03 Asturias, Principado de	33 Asturias	Hombres	2023	479.739
Total Nacional	03 Asturias, Principado de	33 Asturias	Hombres	2022	479.658
Total Nacional	03 Asturias, Principado de	33 Asturias	Hombres	2021	483.186
Total Nacional	03 Asturias, Principado de	33 Asturias	Mujeres	2024	528.121
Total Nacional	03 Asturias, Principado de	33 Asturias	Mujeres	2023	526.321
Total Nacional	03 Asturias, Principado de	33 Asturias	Mujeres	2022	525.302
Total Nacional	03 Asturias, Principado de	33 Asturias	Mujeres	2021	528.931
Total Nacional	04 Balears, Illes		Total	2024	1.231.768
Total Nacional	04 Balears, Illes		Total	2023	1.209.906
Total Nacional	04 Balears, Illes		Total	2022	1.187.043
Total Nacional	04 Balears, Illes		Total	2021	1.183.415
Total Nacional	04 Balears, Illes		Hombres	2024	613.910
Total Nacional	04 Balears, Illes		Hombres	2023	602.649
Total Nacional	04 Balears, Illes		Hombres	2022	592.100
Total Nacional	04 Balears, Illes		Hombres	2021	590.990
Total Nacional	04 Balears, Illes		Mujeres	2024	617.858
Total Nacional	04 Balears, Illes		Mujeres	2023	607.257
