date, pm10, o3, no2, so2, co
2025/4/30, 15, , 2, 2, 
2025/5/1, 19, , 4, 2, 
2025/5/2, 17, , , , 
2025/5/5, 16, , 4, 1, 
2025/5/6, 12, , 4, 1, 
2025/5/7, 18, , 4, 2, 
2025/5/8, 19, , 6, 2, 
2025/5/9, 19, , 4, 2, 
2025/5/10, 15, , 3, 2, 
2025/5/11, 11, , 5, 2, 
2025/5/12, 14, , 3, 2, 
2025/5/13, 10, , 3, 2, 
2025/5/14, 10, , 3, 1, 
2025/5/15, 10, , 3, 1, 
2025/5/16, 17, , , , 
2025/5/19, 13, , 3, 1, 
2025/5/20, 15, , 2, 2, 
2025/5/21, 16, , 1, , 
2025/5/22, 13, , 3, , 
2025/5/23, 12, , 2, , 
2025/5/24, 13, , 2, , 
2025/5/25, 10, , 2, , 
2025/5/26, 12, , 3, 1, 
2025/5/27, 15, , 3, 4, 
2025/5/28, 16, , 3, 1, 
2025/5/29, 20, , 3, , 
2025/5/30, 19, , 1, , 
2025/5/31, 10, , 1, , 
2025/6/1, 9, , 2, , 
2025/6/2, 14, , 2, , 
2025/6/3, 15, , 5, , 
2025/6/4, 11, , 4, , 
2025/6/5, 14, , 2, , 
2025/6/6, 13, , 3, , 
2025/6/7, 17, , , , 
2025/6/9, 21, , 3, , 
2025/6/10, 22, , 4, , 
2025/6/11, 24, , 3, , 
2025/6/12, 20, , 3, , 
2025/6/13, 27, , 2, , 
2025/6/14, 13, , 2, , 
2025/6/15, 9, , 2, , 
2025/6/16, 11, , 3, , 
2025/6/17, 16, , 3, , 
2025/6/18, 18, , 4, , 
2025/6/19, 24, , 2, , 
2025/6/20, 23, , 2, , 
2025/6/21, 18, , 2, , 
2025/6/22, 14, , 2, , 
2025/6/23, 14, , 3, , 
2025/6/24, 20, , 2, , 
2025/6/25, 17, , 2, , 
2025/6/26, 12, , 2, , 
2025/6/27, 10, , 2, , 
2025/6/28, 14, , 3, , 
2025/6/29, 16, , 2, , 
2025/6/30, 17, , 2, , 
2025/1/1, 23, 16, 8, 1, 
2025/1/2, 15, 14, 10, 1, 
2025/1/3, 14, 27, 4, 1, 
2025/1/4, 14, 33, 1, 2, 
2025/1/7, 5, 27, 4, 2, 
2025/1/8, 7, 24, 7, 2, 
2025/1/9, 12, 14, 10, 1, 
2025/1/10, 14, 26, 4, , 
2025/1/11, 17, 24, 3, , 
2025/1/12, 11, 22, 4, , 
2025/1/13, 10, 22, 8, , 
2025/1/14, 16, 20, 8, , 
2025/1/15, 16, 18, 9, 1, 
2025/1/16, 23, 17, 6, 1, 
2025/1/17, 16, 19, 9, 1, 
2025/1/18, 17, 27, 6, 1, 
2025/1/19, 20, 20, 7, 2, 
2025/1/20, 11, 22, 5, 2, 
2025/1/21, 7, 29, 3, 2, 
2025/1/22, 8, 23, 5, 1, 
2025/1/23, 11, 27, 2, 2, 
2025/1/24, 10, 28, 4, 2, 
2025/1/25, 20, 29, 1, 2, 
2025/1/26, 10, 28, 5, 2, 
2025/1/27, 25, 28, 6, 2, 
2025/1/28, 13, 30, 3, 2, 
2025/1/30, 24, 24, 8, 1, 
2025/1/31, 19, 27, 4, 1, 
2025/2/1, 11, 28, 5, 1, 
2025/2/2, 11, 20, 8, 1, 
2025/2/3, 13, 19, 10, 1, 
2025/2/4, 23, 23, 7, , 
2025/2/5, 18, 25, 4, 1, 
2025/2/6, 15, 22, 5, 1, 
2025/2/7, 15, 26, 5, 1, 
2025/2/8, 11, 17, 5, 1, 
2025/2/9, 9, 13, 6, 2, 
2025/2/10, 13, 22, 7, 2, 
2025/2/11, 13, 25, 6, 1, 
2025/2/12, 13, 15, 9, 2, 
2025/2/13, 14, 22, 5, 2, 
2025/2/14, 14, 19, 6, 2, 
2025/2/15, 18, 26, 5, 2, 
2025/2/16, 20, 29, 4, 2, 
2025/2/17, 11, 26, 4, 3, 
2025/2/18, 14, 25, 7, 2, 
2025/2/19, 24, 24, 7, 1, 
2025/2/20, 24, 32, 2, 1, 
2025/2/21, 17, 29, 4, 1, 
2025/2/22, 9, 24, 4, 1, 
2025/2/23, 15, 23, 5, 1, 
2025/2/24, 17, , , , 
2025/2/26, 10, , , , 
2025/2/28, 16, 11, 13, 2, 
2025/3/1, 21, , , , 
2025/3/4, 25, 24, 7, 2, 
2025/3/5, 30, 25, 6, 2, 
2025/3/6, 16, 27, 3, 2, 
2025/3/7, 10, 34, 1, 3, 
2025/3/8, 6, 31, 2, 3, 
2025/3/9, 5, 28, 6, 3, 
2025/3/10, 9, 24, 5, 2, 
2025/3/11, 8, , 5, 2, 
2025/3/12, 11, , 6, 3, 
2025/3/13, 9, , 9, 2, 
2025/3/14, 11, , 8, 2, 
2025/3/15, 10, , 7, 2, 
2025/3/16, 10, , 3, 2, 
2025/3/17, 11, , 5, 2, 
2025/3/18, 7, , 2, 2, 
2025/3/19, 8, , 2, 2, 
2025/3/20, 12, , 1, 3, 
2025/3/21, 8, , 3, 2, 
2025/3/22, 7, , 2, 2, 
2025/3/23, 13, , 2, 1, 
2025/3/24, 16, , 2, 1, 
2025/3/25, 13, , 4, 1, 
2025/3/26, 14, , 7, 1, 
2025/3/27, 16, , 5, 1, 
2025/3/28, 16, , 2, 1, 
2025/3/29, 16, , 4, 1, 
2025/3/30, 15, , 2, 1, 
2025/3/31, 13, , 4, 3, 
2024/10/1, 15, 30, 3, 1, 
2024/10/2, 6, 24, 10, 2, 
2024/10/3, 9, 24, 6, 1, 
2024/10/4, 10, 18, 7, 1, 
2024/10/5, 14, 20, 4, 1, 
2024/10/6, 17, 18, 7, 2, 
2024/10/7, 16, 21, 8, 1, 
2024/10/8, 11, 26, 3, 1, 
2024/10/9, 13, 24, 7, , 
2024/10/10, 14, 27, 4, 1, 
2024/10/11, 10, 22, 3, 1, 
2024/10/12, 7, 15, 10, 1, 
2024/10/13, 11, 20, 7, 1, 
2024/10/14, 16, 21, 7, 1, 
2024/10/15, 34, 20, 5, 1, 
2024/10/16, 8, 28, 4, , 
2024/10/17, 12, 23, 7, , 
2024/10/18, 14, 29, 4, 1, 
2024/10/19, 12, 22, 4, , 
2024/10/20, 16, 27, 5, , 
2024/10/21, 13, 22, 4, , 
2024/10/22, 16, 20, 6, , 
2024/10/23, 17, 27, 5, 1, 
2024/10/24, 13, 23, 6, 1, 
2024/10/25, 9, 17, 7, 1, 
2024/10/26, 12, 19, 6, , 
2024/10/27, 9, 16, 5, , 
2024/10/28, 14, 17, 5, , 
2024/10/29, 17, 17, 5, 1, 
2024/10/30, 22, 17, 8, 1, 
2024/10/31, 39, 21, 6, 1, 
2024/11/1, 22, 18, 6, 1, 
2024/11/2, 25, 19, 6, 1, 
2024/11/3, 20, 21, 5, 1, 
2024/11/4, 19, 19, 10, 1, 
2024/11/5, 21, 18, 7, 1, 
2024/11/6, 22, 16, 8, 1, 
2024/11/7, 20, 20, 10, 1, 
2024/11/8, 20, 26, 5, , 
2024/11/9, 12, 21, 5, , 
2024/11/10, 8, 22, 3, , 
2024/11/11, 11, 23, 4, , 
2024/11/12, 15, 21, 3, , 
2024/11/13, 10, 18, 3, , 
2024/11/14, 14, 13, 6, , 
2024/11/15, 20, 15, 6, , 
2024/11/16, 28, 17, 5, , 
2024/11/17, 26, 13, 6, , 
2024/11/18, 28, 23, 9, , 
2024/11/19, 20, 27, 3, , 
2024/11/20, 12, 31, 8, 1, 
2024/11/21, 14, 27, 4, , 
2024/11/22, 19, 24, 2, , 
2024/11/23, 11, 24, 1, 1, 
2024/11/24, 14, 26, 5, , 
2024/11/25, 15, 11, 11, , 
2024/11/26, 19, 15, 9, , 
2024/11/27, 15, 15, 8, , 
2024/11/28, 14, 19, 11, , 
2024/11/29, 28, 10, 10, , 
2024/11/30, 22, 14, 5, , 
