date, pm10, o3, no2, so2, co
2023/12/10, 15, 13, 9, 2, 
2023/12/11, 19, 15, 9, 2, 
2023/12/12, 10, 19, 4, 2, 
2023/12/13, 19, 16, 6, 1, 
2023/12/14, 20, 12, 10, 1, 
2023/12/15, 13, 15, 7, 1, 
2023/12/16, 15, 9, 8, 1, 
2023/12/17, 17, 7, 10, 1, 
2023/12/18, 20, 11, 11, 1, 
2023/12/19, 20, 19, 5, 1, 
2023/12/20, 13, 21, 4, 1, 
2023/12/21, 17, 20, 6, 1, 
2023/12/22, 28, 15, 9, 2, 
2023/12/23, 17, 9, 8, 2, 
2023/12/24, 16, 10, 8, 2, 
2023/12/25, 15, 9, 10, 2, 
2023/12/26, 18, 12, 10, 2, 
2023/12/27, 19, 10, 11, , 
2023/12/28, 15, 8, 12, , 
2023/12/29, 25, 16, 8, , 
2023/12/30, 12, 18, 5, , 
2023/12/31, 20, 16, 7, , 
2023/7/1, 22, 16, 5, , 
2023/7/2, 12, 22, 5, , 
2023/7/3, 22, 15, 8, , 
2023/7/4, 17, 14, 7, , 
2023/7/5, 13, 17, 7, , 
2023/7/6, 14, 25, 9, , 
2023/7/7, 20, 19, 7, , 
2023/7/8, 19, 17, 7, , 
2023/7/9, 15, 17, 8, , 
2023/7/10, 17, 16, 9, , 
2023/7/11, 18, 14, 8, , 
2023/7/12, 13, 17, 11, , 
2023/7/13, 10, 25, 14, , 
2023/7/14, 14, 16, 9, , 
2023/7/15, 13, 17, 9, , 
2023/7/16, 21, 18, 19, , 
2023/7/17, 24, 20, 11, , 
2023/7/18, 24, 18, 7, , 
2023/7/19, 13, 15, 6, , 
2023/7/20, 16, 14, 6, , 
2023/7/21, 7, 18, 5, , 
2023/7/22, 8, 18, 5, , 
2023/7/23, 10, 18, 6, , 
2023/7/24, 16, 18, 5, , 
2023/7/25, 22, 14, 6, , 
2023/7/26, 14, 15, 6, , 
2023/7/27, 11, 19, 7, , 
2023/7/28, 14, 12, 6, , 
2023/7/29, 11, 18, 5, , 
2023/7/30, 13, 22, 6, , 
2023/7/31, 17, 15, 7, 1, 
2023/8/1, 12, 20, 5, 1, 
2023/8/2, 22, 19, 4, , 
2023/8/3, 22, 18, 5, , 
2023/8/4, 17, 21, 6, , 
2023/8/5, 14, 20, 5, , 
2023/8/6, 16, 19, 6, , 
2023/8/7, 14, 21, 7, 1, 
2023/8/8, 17, 28, 8, 1, 
2023/8/9, 24, 21, 8, 1, 
2023/8/10, 27, 18, 8, , 
2023/8/11, 20, 17, 7, 1, 
2023/8/12, 17, 17, 6, 1, 
2023/8/13, 17, 20, 7, 1, 
2023/8/14, 20, 18, 6, 1, 
2023/8/15, 13, 19, 4, 1, 
2023/8/16, 11, 20, 14, 1, 
2023/8/17, 12, 25, 13, 1, 
2023/8/18, 18, 17, 8, 1, 
2023/8/19, 17, 16, 6, 1, 
2023/8/20, 13, 16, 8, 1, 
2023/8/21, 17, 17, 9, 1, 
2023/8/22, 17, 28, 11, 1, 
2023/8/23, 25, 25, 8, 1, 
2023/8/24, 22, 20, 6, 1, 
2023/8/25, 13, 16, 7, 1, 
2023/8/26, 7, 19, 4, 1, 
2023/8/27, 13, 18, 3, 1, 
2023/8/28, 13, 18, 7, 1, 
2023/8/29, 15, 20, 6, 1, 
2023/8/30, 13, 19, 7, 1, 
2023/8/31, 13, 18, 7, 1, 
2023/9/1, 12, 19, 8, 1, 
2023/9/2, 10, 18, 6, 1, 
2023/9/3, 14, 19, 11, 2, 
2023/9/4, 39, 23, 10, 2, 
2023/9/5, 41, 26, 12, 2, 
2023/9/6, 35, 28, 12, 2, 
2023/9/7, 36, 26, 11, 2, 
2023/9/8, 23, 27, 8, 2, 
2023/9/9, 24, 24, 7, 2, 
2023/9/10, 20, 23, 9, 2, 
2023/9/11, 15, 16, 10, 2, 
2023/9/12, 8, 16, 8, 1, 
2023/9/13, 12, 17, 7, 1, 
2023/9/14, 13, 19, 8, 2, 
2023/9/15, 15, 20, 8, 2, 
2023/9/16, 14, 20, 7, 2, 
2023/9/17, 10, 23, 7, 2, 
2023/9/18, 18, 22, 7, 2, 
2023/9/19, 15, 21, 8, 2, 
2023/9/20, 22, 19, 7, 2, 
2023/9/21, 18, 19, 7, 2, 
2023/9/22, 16, 21, 8, 2, 
2023/9/23, 14, 19, 10, 2, 
2023/9/24, 17, 20, 11, 2, 
2023/9/25, 18, 19, 12, 2, 
2023/9/26, 21, 18, 11, 2, 
2023/9/27, 21, 17, 13, 2, 
2023/9/28, 28, 19, 11, 2, 
2023/9/29, 19, 18, 10, 2, 
2023/9/30, 21, 23, 11, 2, 
2023/4/2, 21, 24, 8, , 
2023/4/3, 18, 21, 7, , 
2023/4/4, 17, 25, 9, , 
2023/4/5, 18, 27, 9, , 
2023/4/6, 17, 27, 8, , 
2023/4/7, 20, 24, 9, , 
2023/4/8, 22, 29, 10, , 
2023/4/9, 27, 23, 12, , 
2023/4/10, 23, 24, 10, , 
2023/4/11, 20, 25, 8, , 
2023/4/12, 22, 26, 7, , 
2023/4/13, 24, 25, 8, , 
2023/4/14, 33, 24, 4, , 
2023/4/15, 40, 24, 6, , 
2023/4/16, 19, 27, 8, , 
2023/4/17, 16, 22, 10, , 
2023/4/18, 21, 26, 9, , 
2023/4/19, 23, 27, 10, , 
2023/4/20, 27, 25, 7, , 
2023/4/21, 25, 26, 9, , 
2023/4/22, 14, 20, 8, , 
2023/4/23, 14, 18, 9, , 
2023/4/24, 14, 18, 9, , 
2023/4/25, 13, 14, 10, , 
2023/4/26, 14, 15, 11, , 
2023/4/27, 17, 17, 9, , 
2023/4/28, 16, 13, 5, , 
2023/4/29, 8, 15, 6, , 
2023/4/30, 7, 15, 6, , 
2023/5/1, 8, 21, 8, , 
2023/5/2, 17, 30, 12, 1, 
2023/5/3, 33, 26, 9, , 
2023/5/4, 17, 23, 10, , 
2023/5/5, 16, 21, 8, , 
2023/5/6, 14, 18, 8, , 
2023/5/7, 20, 19, 9, , 
2023/5/8, 20, 22, 8, , 
2023/5/9, 20, 22, 7, , 
2023/5/10, 24, 18, 7, , 
2023/5/11, 21, 19, 7, , 
2023/5/12, 17, 21, 6, , 
2023/5/13, 17, 27, 4, , 
2023/5/14, 16, 23, 6, , 
2023/5/15, 16, 23, 8, , 
2023/5/16, 21, 24, 9, , 
2023/5/17, 19, 25, 7, , 
2023/5/18, 22, 25, 8, , 
2023/5/19, 24, 27, 7, , 
2023/5/20, 23, 28, 7, , 
2023/5/21, 23, 21, 10, , 
2023/5/22, 21, 23, 7, , 
2023/5/23, 24, 23, 8, , 
2023/5/24, 30, 25, 9, , 
2023/5/25, 25, 24, 10, , 
2023/5/26, 23, 27, 13, , 
2023/5/27, 28, 27, 8, 1, 
2023/5/28, 27, 29, 11, 1, 
2023/5/29, 27, 28, 10, , 
2023/5/30, 27, 29, 9, 1, 
2023/5/31, 23, 28, 10, 1, 
2023/6/1, 27, 26, 11, 1, 
2023/6/2, 23, 27, 9, 1, 
2023/6/3, 20, 29, 8, 1, 
2023/6/4, 24, 31, 10, 1, 
2023/6/5, 26, 25, 11, 1, 
2023/6/6, 21, 22, 12, 1, 
2023/6/7, 20, 19, 10, 1, 
2023/6/8, 18, 23, 10, 1, 
2023/6/9, 12, 20, 8, 1, 
2023/6/10, 11, 18, 8, 1, 
2023/6/11, 9, 20, 8, 1, 
2023/6/12, 12, 23, 8, 1, 
2023/6/13, 14, 20, 7, 1, 
2023/6/14, 15, 19, 7, 2, 
2023/6/15, 12, 20, 8, 2, 
2023/6/16, 20, 19, 7, , 
2023/6/17, 23, 18, 7, , 
2023/6/18, 12, 19, 7, , 
2023/6/19, 15, 17, 9, , 
2023/6/20, 14, 17, 9, 1, 
2023/6/21, 13, 18, 9, , 
2023/6/22, 13, 18, 8, 1, 
2023/6/23, 16, 24, 10, , 
2023/6/24, 22, 24, 7, , 
2023/6/25, 19, 18, 7, 1, 
2023/6/26, 15, 20, 7, 1, 
2023/6/27, 20, 20, 10, , 
2023/6/28, 16, 17, 7, , 
2023/6/29, 15, 18, 6, , 
2023/6/30, 15, 17, 6, , 
2023/1/2, 13, 8, 12, , 
2023/1/3, 18, 5, 17, , 
2023/1/4, 19, 10, 15, , 
2023/1/5, 21, 16, 11, , 
2023/1/6, 18, 17, 5, , 
2023/1/7, 13, 24, 6, , 
2023/1/8, 16, 24, 7, , 
2023/1/9, 28, 12, 11, , 
2023/1/10, 18, 17, 12, , 
2023/1/11, 20, 9, 13, , 
2023/1/12, 33, 11, 13, , 
2023/1/13, 16, 15, 7, , 
2023/1/14, 11, 22, 7, , 
2023/1/15, 17, 22, 7, , 
2023/1/16, 24, 26, 3, 1, 
2023/1/17, 23, 22, 6, , 
2023/1/18, 17, 22, 8, , 
2023/1/19, 24, 19, 6, , 
2023/1/20, 24, 18, 6, , 
2023/1/21, 19, 15, 7, , 
2023/1/22, 19, 15, 6, , 
2023/1/23, 14, 13, 6, , 
2023/1/24, 12, 15, 11, , 
2023/1/25, 16, 16, 8, , 
2023/1/26, 12, 20, 4, , 
2023/1/27, 13, 17, 3, , 
2023/1/28, 10, 15, 8, , 
2023/1/29, 10, 14, 11, , 
2023/1/30, 16, 18, 13, , 
2023/1/31, 13, 17, 9, , 
2023/2/1, 14, 20, 6, , 
2023/2/2, 22, 18, 6, , 
2023/2/3, 20, 18, 7, , 
2023/2/4, 16, 22, 9, , 
2023/2/5, 15, 18, 6, , 
2023/2/6, 17, 14, 9, , 
2023/2/7, 19, 17, 6, , 
2023/2/8, 22, 18, 9, , 
2023/2/9, 21, 22, 8, , 
2023/2/10, 26, 18, 10, , 
2023/2/11, 25, 21, 9, , 
2023/2/12, 17, 19, 12, , 
2023/2/13, 30, 22, 7, , 
2023/2/14, 16, 21, 12, , 
2023/2/15, 23, 20, 13, , 
2023/2/16, 30, 20, 11, , 
2023/2/17, 36, 22, 11, , 
2023/2/18, 38, 18, 9, , 
2023/2/19, 33, 13, 9, , 
2023/2/20, 34, 19, 10, 1, 
2023/2/21, 42, 23, 7, , 
2023/2/22, 28, 19, 9, , 
2023/2/23, 8, 21, 9, 1, 
2023/2/24, 12, 19, 7, 1, 
2023/2/25, 11, 24, 4, , 
2023/2/26, 17, 22, 4, , 
2023/2/27, 20, 22, 6, , 
2023/2/28, 17, 16, 11, , 
2023/3/1, 17, 17, 12, , 
2023/3/2, 21, 20, 14, , 
2023/3/3, 22, 20, 11, , 
2023/3/4, 23, 22, 9, , 
2023/3/5, 30, 21, 11, , 
2023/3/6, 30, 20, 12, 1, 
2023/3/7, 24, 19, 11, 1, 
2023/3/8, 11, 24, 10, 1, 
2023/3/9, 15, 19, 15, , 
2023/3/10, 31, 11, 9, , 
2023/3/11, 17, 11, 8, , 
2023/3/12, 10, 26, 7, , 
2023/3/13, 19, 25, 7, , 
2023/3/14, 28, 22, 10, , 
2023/3/15, 23, 19, 11, , 
2023/3/16, 27, 22, 9, , 
2023/3/17, 20, 23, 7, , 
2023/3/18, 14, 22, 5, , 
2023/3/19, 11, 16, 11, , 
2023/3/20, 15, 21, 10, , 
2023/3/21, 16, 17, 12, , 
2023/3/22, 20, 20, 11, , 
2023/3/23, 25, 25, 10, , 
2023/3/24, 21, 35, 8, , 
2023/3/25, 21, , , , 
2022/10/1, 11, 16, 7, , 
2022/10/2, 11, 16, 7, , 
2022/10/3, 16, 23, 6, 1, 
2022/10/4, 19, 21, 5, , 
2022/10/5, 30, 17, 5, , 
2022/10/6, 14, 18, 5, , 
2022/10/7, 23, 20, 5, , 
2022/10/8, 20, 19, 6, , 
2022/10/9, 37, 21, 6, , 
2022/10/10, 42, 19, 7, , 
2022/10/11, 27, 20, 6, , 
2022/10/12, 22, 15, 7, , 
2022/10/13, 20, 11, 7, , 
2022/10/14, 11, 6, 6, , 
2022/10/15, 13, 21, 7, , 
2022/10/16, 20, 18, 7, , 
2022/10/17, 15, 20, 8, , 
2022/10/18, 30, 24, 7, , 
2022/10/19, 29, 23, 4, , 
2022/10/20, 8, 21, 4, , 
2022/10/21, 11, 23, 4, , 
2022/10/22, 8, 21, 3, , 
2022/10/23, 11, 18, 6, , 
2022/10/24, 10, 23, 5, , 
2022/10/25, 12, 19, 6, , 
2022/10/26, 10, 17, 6, 1, 
2022/10/27, 29, 16, 4, , 
2022/10/28, 28, 19, 5, , 
2022/10/29, 27, 18, 4, , 
2022/10/30, 9, 21, 3, , 
2022/10/31, 13, 18, 4, , 
2022/11/1, 15, 14, 4, , 
2022/11/2, 24, 20, 3, , 
2022/11/3, 20, 20, 2, , 
2022/11/4, 21, 14, 4, , 
2022/11/5, 13, 17, 4, , 
2022/11/6, 13, 19, 3, , 
2022/11/7, 17, 18, 4, , 
2022/11/8, 14, 16, 5, , 
2022/11/9, 15, 14, 5, , 
2022/11/10, 14, 12, 6, , 
2022/11/11, 13, 16, 6, , 
2022/11/12, 18, 17, 5, , 
2022/11/13, 20, 18, 3, , 
2022/11/14, 16, 17, 3, , 
2022/11/15, 12, 17, 4, , 
2022/11/16, 13, 18, 3, , 
2022/11/17, 32, 19, 2, , 
2022/11/18, 14, 21, 2, , 
2022/11/19, 13, 19, 3, , 
2022/11/20, 16, 22, 2, , 
2022/11/21, 16, 18, 3, , 
2022/11/22, 12, 21, 3, , 
2022/11/23, 25, 21, 4, , 
2022/11/24, 17, 17, 3, , 
2022/11/25, 22, 7, 3, , 
2022/11/26, 21, 19, 3, , 
2022/11/27, 12, 21, 1, , 
2022/11/28, 18, 16, 4, , 
2022/11/29, 16, 16, 2, , 
2022/11/30, 14, 16, 2, , 
2022/12/1, 14, 12, 9, , 
2022/12/2, 15, 11, 12, , 
2022/12/3, 12, 7, 11, , 
2022/12/4, 11, 10, 14, , 
2022/12/5, 14, 10, 15, , 
2022/12/6, 13, 11, 12, , 
2022/12/7, 15, 4, 12, , 
2022/12/8, 18, 16, 10, , 
2022/12/9, 13, 17, 8, , 
2022/12/10, 15, 10, 12, , 
2022/12/11, 13, 7, 14, , 
2022/12/12, 13, 17, 15, , 
2022/12/13, 21, 15, 14, , 
2022/12/14, 10, 13, 12, , 
2022/12/15, 10, 13, 7, , 
2022/12/16, 23, 8, 11, , 
2022/12/17, 20, 19, 6, , 
2022/12/18, 11, 19, 3, , 
2022/12/19, 13, 18, 8, , 
2022/12/20, 11, 12, 15, , 
2022/12/21, 16, 12, 15, , 
2022/12/22, 25, 21, 9, , 
2022/12/23, 16, 18, 6, , 
2022/12/24, 12, 19, 6, , 
2022/12/25, 6, 18, 9, , 
2022/12/26, 13, 11, 13, , 
2022/12/27, 18, 17, 9, , 
2022/12/28, 15, 13, 11, , 
2022/12/29, 13, 18, 5, , 
2022/12/30, 11, 20, 4, , 
2022/12/31, 26, 21, 5, , 
2023/1/1, 19, 18, 10, , 
2022/7/1, 15, 28, 4, , 
2022/7/2, 16, 20, 1, , 
2022/7/3, 12, 20, 3, , 
2022/7/4, 12, 24, 3, , 
2022/7/5, 20, 28, 3, , 
2022/7/6, 20, 23, 4, , 
2022/7/7, 21, 23, 4, , 
2022/7/8, 16, 27, 7, , 
2022/7/9, 19, 29, 7, , 
2022/7/10, 23, 28, 6, , 
2022/7/11, 21, 31, 6, , 
2022/7/12, 20, 36, 7, , 
2022/7/13, 27, 34, 5, , 
2022/7/14, 26, 35, 5, , 
2022/7/15, 33, 46, 6, , 
2022/7/16, 52, 46, 7, , 
2022/7/17, 40, 36, 5, , 
2022/7/18, 29, 23, 4, , 
2022/7/19, 17, 24, 2, , 
2022/7/20, 14, 19, 3, , 
2022/7/21, 17, 22, 3, , 
2022/7/22, 13, 22, 4, , 
2022/7/23, 12, 25, 3, , 
2022/7/24, 15, 18, 2, , 
2022/7/25, 11, 23, 3, , 
2022/7/26, 10, 23, 5, , 
2022/7/27, 8, 24, 4, , 
2022/7/28, 8, 19, 5, , 
2022/7/29, 11, 19, 4, , 
2022/7/30, 8, , , , 
2022/8/1, 14, 17, 25, 1, 
2022/8/2, 12, 20, 14, 1, 
2022/8/3, 16, 13, 11, 1, 
2022/8/4, 13, 19, 11, 1, 
2022/8/5, 14, 28, 13, 1, 
2022/8/6, 25, 30, 13, 1, 
2022/8/7, 24, 31, 14, 1, 
2022/8/8, 22, 34, 13, 1, 
2022/8/9, 24, 37, 14, 1, 
2022/8/10, 32, 34, 12, 1, 
2022/8/11, 32, 31, 8, 1, 
2022/8/12, 24, 23, 11, 1, 
2022/8/13, 21, 26, 11, 1, 
2022/8/14, 15, 38, 10, 1, 
2022/8/15, 25, 25, 10, 1, 
2022/8/16, 15, 23, 9, 1, 
2022/8/17, 15, 20, 9, 1, 
2022/8/18, 21, 18, 13, 1, 
2022/8/19, 16, 16, 10, , 
2022/8/20, 37, 19, 11, , 
2022/8/21, 13, 11, 9, , 
2022/8/22, 7, 10, 11, , 
2022/8/23, 7, 18, 11, , 
2022/8/24, 14, 14, 11, , 
2022/8/25, 14, 19, 10, , 
2022/8/26, 13, 18, 11, , 
2022/8/27, 11, 27, 13, , 
2022/8/28, 16, 26, 14, , 
2022/8/29, 23, 27, 12, , 
2022/8/30, 19, 23, 12, , 
2022/8/31, 14, 24, 13, , 
2022/9/1, 12, 25, 11, , 
2022/9/2, 11, 26, 10, , 
2022/9/3, 15, 28, 13, , 
2022/9/4, 15, 25, 12, , 
2022/9/5, 15, 22, 11, , 
2022/9/6, 18, 24, 12, , 
2022/9/7, 17, 21, 12, , 
2022/9/8, 12, 21, 12, , 
2022/9/9, 13, 22, 11, , 
2022/9/10, 12, 27, 14, , 
2022/9/11, 13, 17, 16, , 
2022/9/12, 26, 19, 9, , 
2022/9/13, 13, 16, 12, , 
2022/9/14, 9, 19, 13, , 
2022/9/15, 8, 23, 10, , 
2022/9/16, 13, 25, 9, , 
2022/9/17, 13, 22, 9, , 
2022/9/18, 15, 22, 9, , 
2022/9/19, 16, 21, 9, , 
2022/9/20, 14, 24, 7, , 
2022/9/21, 15, 25, 9, , 
2022/9/22, 14, 22, 11, , 
2022/9/23, 16, 18, 4, , 
2022/9/24, 6, 20, 4, , 
2022/9/25, 7, 22, 4, , 
2022/9/26, 12, 22, 2, , 
2022/9/27, 18, 21, 1, , 
2022/9/28, 13, 19, 3, , 
2022/9/29, 10, 19, 5, , 
2022/9/30, 15, 16, 8, , 
2022/4/1, 15, 33, 3, , 
2022/4/2, 12, 32, 3, , 
2022/4/3, 9, 30, 7, , 
2022/4/4, 15, 35, 8, , 
2022/4/5, 19, 34, 10, , 
2022/4/6, 20, 24, 10, , 
2022/4/7, 17, 30, 6, , 
2022/4/8, 26, 31, 4, , 
2022/4/9, 21, 27, 5, , 
2022/4/10, 14, 29, 4, , 
2022/4/11, 29, 31, 3, , 
2022/4/12, 9, 27, 8, , 
2022/4/13, 13, 29, 5, , 
2022/4/14, 12, 32, 2, , 
2022/4/15, 13, 31, 3, , 
2022/4/16, 16, 37, 5, , 
2022/4/17, 18, 28, 5, , 
2022/4/18, 16, 31, 3, , 
2022/4/19, 10, 34, 3, , 
2022/4/20, 18, 30, 6, , 
2022/4/21, 16, 28, 4, , 
2022/4/22, 9, 32, 4, , 
2022/4/23, 10, 34, 3, , 
2022/4/24, 14, 30, 5, , 
2022/4/25, 20, 29, 6, , 
2022/4/26, 23, 30, 6, , 
2022/4/27, 20, 30, 4, , 
2022/4/28, 14, 31, 6, , 
2022/4/29, 17, 37, 3, , 
2022/4/30, 21, 40, 4, , 
2022/5/1, 29, 36, 2, , 
2022/5/2, 17, 33, 3, , 
2022/5/3, 25, 35, 6, , 
2022/5/4, 25, 33, 6, , 
2022/5/5, 21, 27, 5, , 
2022/5/6, 17, 28, 3, , 
2022/5/7, 15, 23, 4, , 
2022/5/8, 17, 26, 5, 1, 
2022/5/9, 15, 30, 5, , 
2022/5/10, 23, 29, 4, , 
2022/5/11, 19, 20, 4, , 
2022/5/12, 15, 21, 3, , 
2022/5/13, 14, 22, 4, , 
2022/5/14, 20, 30, 3, , 
2022/5/15, 23, 30, 5, , 
2022/5/16, 16, 31, 7, , 
2022/5/17, 19, 26, 4, , 
2022/5/18, 17, 25, 4, , 
2022/5/19, 15, 26, 2, , 
2022/5/20, 17, 25, 2, , 
2022/5/21, 20, 28, 2, , 
2022/5/22, 23, 24, 5, , 
2022/5/23, 18, 27, 5, , 
2022/5/24, 15, 27, 4, , 
2022/5/25, 13, 24, 5, , 
2022/5/26, 13, 21, 3, , 
2022/5/27, 17, 24, 2, , 
2022/5/28, 19, 32, 3, , 
2022/5/29, 22, 28, 3, , 
2022/5/30, 25, 30, 3, , 
2022/5/31, 20, 32, 3, , 
2022/6/1, 20, 30, 3, , 
2022/6/2, 14, 31, 2, , 
2022/6/3, 11, 30, 3, , 
2022/6/4, 14, 30, 2, , 
2022/6/5, 14, 24, 5, , 
2022/6/6, 14, 22, 3, , 
2022/6/7, 16, 17, 4, , 
2022/6/8, 8, 18, 5, , 
2022/6/9, 9, 21, 3, , 
2022/6/10, 15, 15, 2, , 
2022/6/11, 14, 20, 2, , 
2022/6/12, 17, 25, 4, , 
2022/6/13, 26, 26, 3, , 
2022/6/14, 28, 29, 3, , 
2022/6/15, 24, 36, 4, , 
2022/6/16, 31, 43, 7, , 
2022/6/17, 46, 26, 6, , 
2022/6/18, 39, 24, 2, , 
2022/6/19, 19, 20, 5, , 
2022/6/20, 14, 22, 5, , 
2022/6/21, 9, 24, 5, , 
2022/6/22, 8, 24, 6, , 
2022/6/23, 11, 27, 6, , 
2022/6/24, 17, 22, 3, , 
2022/6/25, 12, 21, 4, , 
2022/6/26, 12, 20, 5, , 
2022/6/27, 14, 24, 4, , 
2022/6/28, 12, 16, 6, , 
2022/6/29, 14, 20, 4, , 
2022/6/30, 13, 21, 4, , 
2022/1/3, 29, 27, 3, , 
2022/1/4, 13, 27, 11, , 
2022/1/5, 11, 18, 8, , 
2022/1/6, 15, 28, 4, , 
2022/1/7, 19, 28, 7, , 
2022/1/8, 15, 28, 1, , 
2022/1/9, 17, 23, 3, , 
2022/1/10, 18, 20, 6, , 
2022/1/11, 9, 20, 8, , 
2022/1/12, 19, 14, 11, , 
2022/1/13, 20, 16, 14, , 
2022/1/14, 21, 12, 14, , 
2022/1/15, 20, 17, 11, , 
2022/1/16, 18, 24, 9, , 
2022/1/17, 19, 14, 12, , 
2022/1/18, 19, 5, 18, , 
2022/1/19, 24, 24, 12, , 
2022/1/20, 14, 25, 4, , 
2022/1/21, 15, 23, 3, , 
2022/1/22, 16, 17, 6, 1, 
2022/1/23, 18, 12, 13, 1, 
2022/1/24, 23, 14, 13, , 
2022/1/25, 23, 17, 12, , 
2022/1/26, 26, 20, 9, , 
2022/1/27, 22, 19, 6, , 
2022/1/28, 14, 18, 5, , 
2022/1/29, 18, 14, 4, , 
2022/1/30, 20, 29, 8, , 
2022/1/31, 14, 27, 9, , 
2022/2/1, 23, 14, 11, 1, 
2022/2/2, 26, 17, 16, 1, 
2022/2/3, 29, 19, 14, 1, 
2022/2/4, 19, 27, 6, 1, 
2022/2/5, 16, 22, 10, 1, 
2022/2/6, 13, 23, 12, 1, 
2022/2/7, 15, 21, 8, 1, 
2022/2/8, 30, 18, 14, 1, 
2022/2/9, 33, 21, 12, 1, 
2022/2/10, 40, 22, 7, 1, 
2022/2/11, 33, 14, 8, 1, 
2022/2/12, 28, 33, 4, 2, 
2022/2/13, 23, 31, 4, 1, 
2022/2/14, 16, 23, 13, 1, 
2022/2/15, 17, 22, 10, 2, 
2022/2/16, 16, 20, 6, , 
2022/2/17, 21, 22, 9, , 
2022/2/18, 21, 26, 7, , 
2022/2/19, 16, 28, 6, 1, 
2022/2/20, 16, 27, 4, , 
2022/2/21, 34, 21, 10, , 
2022/2/22, 32, 18, 11, 1, 
2022/2/23, 34, 28, 6, , 
2022/2/24, 28, 24, 4, , 
2022/2/25, 33, 23, 7, , 
2022/2/26, 27, 28, 6, , 
2022/2/27, 25, 16, 11, , 
2022/2/28, 37, 20, 11, , 
2022/3/1, 40, 24, 6, , 
2022/3/2, 14, 31, 6, , 
2022/3/3, 11, 31, 6, , 
2022/3/4, 15, 29, 6, , 
2022/3/5, 10, 30, 5, , 
2022/3/6, 8, 27, 7, , 
2022/3/7, 18, 30, 7, , 
2022/3/8, 13, 30, 4, , 
2022/3/9, 11, 29, 5, , 
2022/3/10, 9, 29, 4, , 
2022/3/11, 16, 29, 4, , 
2022/3/12, 11, 31, 3, , 
2022/3/13, 16, 26, 7, , 
2022/3/14, 18, 15, 9, , 
2022/3/15, 53, 29, 4, , 
2022/3/16, 41, 31, 3, , 
2022/3/17, 22, 22, 5, , 
2022/3/18, 28, 23, 8, , 
2022/3/19, 32, 28, 4, 1, 
2022/3/20, 18, 30, 5, 1, 
2022/3/21, 15, 28, 4, , 
2022/3/22, 11, 34, 5, 1, 
2022/3/23, 22, 35, 7, , 
2022/3/24, 25, 30, 7, , 
2022/3/25, 31, 38, 7, , 
2022/3/26, 26, 27, 7, , 
2022/3/27, 29, 31, 4, , 
2022/3/28, 50, 40, 7, , 
2022/3/29, 35, 34, 4, , 
2022/3/30, 25, 34, 4, , 
2022/3/31, 17, 32, 3, , 
2021/10/1, 19, 19, 3, , 
2021/10/2, 11, 28, 1, , 
2021/10/3, 17, 24, 4, , 
2021/10/4, 15, 24, 5, , 
2021/10/5, 17, 28, 5, , 
2021/10/6, 25, 24, 3, , 
2021/10/7, 20, 26, 4, , 
2021/10/8, 24, 25, 8, 1, 
2021/10/9, 18, 29, 5, , 
2021/10/10, 16, 27, 4, , 
2021/10/11, 20, 25, 3, , 
2021/10/12, 20, 25, 5, , 
2021/10/13, 21, 23, 8, , 
2021/10/14, 21, 27, 9, , 
2021/10/15, 21, 27, 8, , 
2021/10/16, 21, 18, 5, , 
2021/10/17, 14, 12, 10, , 
2021/10/18, 16, 17, 7, , 
2021/10/19, 15, 29, 6, , 
2021/10/20, 21, 27, 4, , 
2021/10/21, 32, 25, 3, 1, 
2021/10/22, 14, 25, 5, , 
2021/10/23, 14, 22, 5, , 
2021/10/24, 14, 19, 9, , 
2021/10/25, 20, 24, 6, 1, 
2021/10/26, 19, 16, 11, , 
2021/10/27, 20, 33, 8, , 
2021/10/28, 24, 28, 3, , 
2021/10/29, 14, 24, 3, , 
2021/10/30, 13, 23, 2, , 
2021/10/31, 10, 27, 3, , 
2021/11/1, 17, 28, 4, , 
2021/11/2, 15, 26, 6, , 
2021/11/3, 11, 23, 7, , 
2021/11/4, 11, 18, 10, , 
2021/11/5, 11, 18, 9, , 
2021/11/6, 13, 19, 10, , 
2021/11/7, 13, 21, 8, , 
2021/11/8, 17, 21, 6, , 
2021/11/9, 17, 20, 12, , 
2021/11/10, 23, 21, 12, , 
2021/11/11, 27, 7, 18, 1, 
2021/11/12, 28, 21, 10, , 
2021/11/13, 23, 25, 4, , 
2021/11/14, 19, 20, 9, , 
2021/11/15, 14, 12, 13, 1, 
2021/11/16, 21, 17, 7, , 
2021/11/17, 17, 18, 7, , 
2021/11/18, 19, 15, 9, , 
2021/11/19, 20, 16, 11, , 
2021/11/20, 16, 24, 9, 1, 
2021/11/21, 17, 20, 9, 1, 
2021/11/22, 13, 14, 4, , 
2021/11/23, 18, 16, 6, 1, 
2021/11/24, 11, 22, 5, , 
2021/11/25, 16, 26, 6, , 
2021/11/26, 14, 27, 1, , 
2021/11/27, 19, , , , 
2021/12/2, 18, 24, 12, , 
2021/12/3, 15, 28, 4, , 
2021/12/4, 18, 28, 1, , 
2021/12/5, 22, 27, 5, , 
2021/12/6, 18, 28, 3, , 
2021/12/7, 14, 30, 3, , 
2021/12/8, 13, 27, 4, , 
2021/12/9, 14, 29, 2, , 
2021/12/10, 28, 26, 2, , 
2021/12/11, 14, 14, , , 
2021/12/12, 26, 2, 15, 1, 
2021/12/13, 35, 4, 10, , 
