id;pm10;o3;no2;so2;co
fingoy,-lu;2.61183744287774;1.5866438610842568;9.25444855929907;12.501178318931656;29.3379371143109
gomez-fran;2.0486569006398807;1.934014927214409;4.9481368404571775;28.79813084112149;26.52938586836892
reina-sofí;2.189746549824212;1.0782868448616985;6.11521597921403;15.271637816245006;26.19429347826087
torre-hérc;1.7142523996529948;1.8232026693862196;9.25202525280742;27.12229679343773;45.471692825112115
